file,rhythmic_entropy,melodic_range,hnr,spectral_centroid,spectral_bandwidth,zero_crossing_rate,rms_energy
H37N.mp3,-3953.1262364412532,3982.1868,-8.395124,1721.1969847015957,2049.0668447316466,0.06908676483653163,0.15760574
H377N.mp3,-4337.593907320825,3917.8508,7.753017,899.5246247719348,1167.3362538497859,0.03465131096748401,0.1736892
H27N.mp3,-5973.995844249379,3913.6304,3.7458756,1498.2543310037038,1547.527196937207,0.07522029917377399,0.2287345
H94N.mp3,-5097.829067174362,3596.7053,10.583893,1160.5561650018492,1335.8547147312042,0.0485466778829069,0.109805524
H231N.mp3,-3576.4058262995495,1396.1797,15.881143,616.6069765105015,1145.8366308512104,0.016224333133439944,0.25779313
H292N.mp3,-4513.999984239422,3999.1477,1.33866,1668.6201163939945,1793.6657785228754,0.07459667344083155,0.1435042
H38N.mp3,-5192.551689701346,699.69617,157.70798,292.61900465888846,228.23657123004594,0.02515221048773987,0.18864004
H77N.mp3,-4393.060905692456,3946.357,19.234035,694.5282098451532,860.9469824895288,0.04448426117181947,0.22830887
H159N.mp3,-4514.245698430169,3994.8647,-0.15074852,1896.988620817112,2145.5240979436485,0.08100610230099503,0.20607516
H343N.mp3,-3191.6181162998073,3956.3333,-1.1169685,1293.474532988189,1791.9957592959033,0.04604974569118692,0.21863778
H33N.mp3,-8084.458439245209,3998.1528,-126.91769,1547.5501790347046,1140.797433619406,0.11276624689054726,0.010550067
H440N.mp3,-5757.65208455638,3796.9104,-1.7059344,903.2191829528168,1152.5695004318752,0.04959230077292111,0.20163953
H328N.mp3,-5120.824705287213,2503.9028,22.314043,2090.261624974623,2404.857213188481,0.07660220104832978,0.19392021
H67N.mp3,-9676.434741499663,3998.1877,13.902132,1944.0494033743746,1959.0016286788964,0.09677234641524521,0.14177197
H196N.mp3,-4009.7479936041827,3991.0508,3.3057916,1980.9285571092557,2247.3423534003014,0.07506100912846482,0.21885464
H402N.mp3,-5020.979995574729,3793.877,-3.3528898,1240.6581955783806,1429.349088184498,0.06285328380419332,0.17362848
H237N.mp3,-9507.921651640228,1505.1987,211.70346,294.18615989158616,483.74536269981945,0.011215546153162758,0.29071388
